idSegmento,nivelServicio,tickInicial,tickFinal
S-N340-08,0,64800,64888
S-CV149-06,0,64800,64896
S-N340-06,0,64860,64977
S-CV1520-03,0,64860,64980
S-N340a-06,0,64977,65006
S-CV197-01,0,65043,65059
S-N340a-01,0,64980,65061
S-N340a-03,0,65061,65097
S-N340a-04,0,65066,65111
S-N340a-05,0,65097,65127
S-CV149-02,0,64896,65155
S-CV197-02,0,65155,65171
S-N340a-02,0,65111,65208
S-N340-02,0,65006,65219
S-N340-05,0,65127,65244
S-CV149-10,0,65244,65265
S-N340-07,0,65248,65323
S-CV149-01,0,65059,65324
S-CV149-07,0,65324,65419
